participant_email,puzzle_id,max_moves,player_moves,time_taken_seconds
*,dataset-1,2,3,7
*,dataset-14,3,3,6
*,dataset-1,2,2,7
*,dataset-14,3,3,8
*,dataset-52,4,4,4
*,dataset-59,5,5,5
*,dataset-91,6,8,19
*,dataset-117,7,8,6
*,dataset-137,8,8,7
*,dataset-166,9,17,15
*,dataset-1,2,2,3
*,dataset-14,3,3,29
*,dataset-202,10,12,17
*,dataset-209,11,22,18
*,dataset-238,12,55,103
*,dataset-267,13,19,68
*,dataset-287,14,36,83
*,dataset-302,15,35,42
*,dataset-334,16,41,48
*,dataset-363,17,45,55
*,dataset-375,18,53,64
*,dataset-400,19,94,115
*,dataset-430,20,31,53
*,dataset-4,2,2,8
*,dataset-25,3,3,6
*,dataset-42,4,4,6
*,dataset-69,5,6,9
*,dataset-85,6,6,14
*,dataset-4,2,2,5
*,dataset-25,3,3,6
*,dataset-42,4,4,6
*,dataset-69,5,6,11
*,dataset-85,6,6,15
*,dataset-115,7,7,21
*,dataset-4,2,4,11
*,dataset-25,3,3,4
*,dataset-42,4,4,6
*,dataset-69,5,6,7
*,dataset-85,6,11,23
*,dataset-115,7,7,26
*,dataset-147,8,8,25
*,dataset-160,9,14,42
*,dataset-186,10,10,20
*,dataset-204,11,13,31
*,dataset-147,8,8,33
*,dataset-242,12,12,25
*,dataset-160,9,9,70
*,dataset-186,10,11,23
*,dataset-263,13,13,19
*,dataset-4,2,2,5
*,dataset-25,3,3,5
*,dataset-204,11,13,52
*,dataset-42,4,4,9
*,dataset-69,5,5,11
*,dataset-85,6,6,25
*,dataset-285,14,15,32
*,dataset-115,7,7,19
*,dataset-317,15,21,42
*,dataset-344,16,16,21
*,dataset-242,12,13,167
*,dataset-263,13,13,59
*,dataset-147,8,28,269
*,dataset-160,9,12,103
*,dataset-186,10,10,12
*,dataset-204,11,13,17
*,dataset-242,12,13,23
*,dataset-263,13,16,28
*,dataset-285,14,80,183
*,dataset-317,15,22,34
*,dataset-344,16,16,19
*,dataset-285,14,15,39
*,dataset-363,17,30,41
*,dataset-391,18,31,41
*,dataset-317,15,23,40
*,dataset-344,16,16,21
*,dataset-400,19,120,203
*,dataset-423,20,29,34
*,dataset-363,17,18,75
*,dataset-4,2,2,10
*,dataset-25,3,3,45
*,dataset-42,4,4,39
*,dataset-69,5,5,31
*,dataset-4,2,3,23
*,dataset-25,3,3,7
*,dataset-42,4,4,6
*,dataset-69,5,6,10
*,dataset-85,6,6,75
*,dataset-85,6,6,17
*,dataset-391,18,18,40
*,dataset-115,7,7,10
*,dataset-147,8,8,39
*,dataset-115,7,7,75
*,dataset-160,9,9,18
*,dataset-186,10,10,9
*,dataset-204,11,12,15
*,dataset-242,12,12,32
*,dataset-263,13,13,31
*,dataset-285,14,15,54
*,dataset-4,2,2,3
*,dataset-25,3,4,5
*,dataset-317,15,15,48
*,dataset-344,16,16,27
*,dataset-4,2,2,11
*,dataset-25,3,3,6
*,dataset-42,4,5,8
*,dataset-69,5,7,15
*,dataset-85,6,6,12
*,dataset-115,7,7,11
*,dataset-147,8,9,24
*,dataset-160,9,9,51
*,dataset-160,9,11,16
*,dataset-186,10,10,21
*,dataset-204,11,11,14
*,dataset-186,10,10,87
*,dataset-242,12,14,17
*,dataset-263,13,16,20
*,dataset-204,11,11,81
*,dataset-242,12,12,108
*,dataset-363,17,18,25
*,dataset-4,2,4,24
*,dataset-25,3,3,10
*,dataset-42,4,4,14
*,dataset-423,20,26,165
*,dataset-69,5,5,23
*,dataset-85,6,6,13
*,dataset-115,7,7,16
*,dataset-285,14,24,81
*,dataset-391,18,18,37
*,dataset-147,8,14,70
*,dataset-160,9,10,35
*,dataset-186,10,11,21
*,dataset-204,11,11,18
*,dataset-242,12,15,18
*,dataset-263,13,14,20
*,dataset-317,15,25,37
*,dataset-344,16,23,32
*,dataset-400,19,33,91
*,dataset-363,17,18,22
*,dataset-423,20,21,41
*,dataset-4,2,2,3
*,dataset-285,14,49,214
*,dataset-25,3,3,3
*,dataset-42,4,4,5
*,dataset-69,5,5,50
*,dataset-85,6,6,19
*,dataset-391,18,21,29
*,dataset-115,7,7,22
*,dataset-317,15,38,119
*,dataset-147,8,8,19
*,dataset-160,9,9,17
*,dataset-344,16,16,34
*,dataset-186,10,10,16
*,dataset-204,11,11,20
*,dataset-363,17,35,86
*,dataset-242,12,12,62
*,dataset-400,19,24,26
*,dataset-391,18,20,62
*,dataset-263,13,13,30
*,dataset-4,2,2,3
*,dataset-25,3,3,3
*,dataset-423,20,28,37
*,dataset-42,4,4,3
*,dataset-69,5,5,6
*,dataset-85,6,6,9
*,dataset-115,7,7,10
*,dataset-147,8,8,12
